question,alignment,option,raw_score,binary_score,dimension
How do you respond when mistakenly added to a reply-all?,Chaotic,"Stop working, sit back, and watch",-1,0,Chaotic vs. Lawful
How do you respond when mistakenly added to a reply-all?,Good,"Stop working, sit back, and watch",1,1,Evil vs. Good
The office internet goes down.  How do you react?,Chaotic,Quietly slack off,-1,0,Chaotic vs. Lawful
The office internet goes down.  How do you react?,Good,Quietly slack off,1,1,Evil vs. Good
How do you react when your computer is having repeated issues?,Chaotic,Create a Slack channel to complain,-1,0,Chaotic vs. Lawful
How do you react when your computer is having repeated issues?,Good,Create a Slack channel to complain,1,1,Evil vs. Good
When did you complete the Code of Conduct training?,Chaotic,Once Megan Clarken said it was a competition between her and Karthik,-1,0,Chaotic vs. Lawful
When did you complete the Code of Conduct training?,Good,Once Megan Clarken said it was a competition between her and Karthik,1,1,Evil vs. Good
Which is your favorite Slack Channel?,Chaotic,Random,-1,0,Chaotic vs. Lawful
Which is your favorite Slack Channel?,Good,Random,1,1,Evil vs. Good
"You need to write on a whiteboard in a meeting room, but most of the whiteboard has writing on it with a ""do not erase"".  What do you do?",Chaotic,"Go to another room, but add witty commentary to the ""DO NOT ERASE""",-1,0,Chaotic vs. Lawful
"You need to write on a whiteboard in a meeting room, but most of the whiteboard has writing on it with a ""do not erase"".  What do you do?",Good,"Go to another room, but add witty commentary to the ""DO NOT ERASE""",1,1,Evil vs. Good
What is your favorite capability of Slack?,Chaotic,"Starting friendly, but fiery, debates",-1,0,Chaotic vs. Lawful
What is your favorite capability of Slack?,Good,"Starting friendly, but fiery, debates",1,1,Evil vs. Good
When do you say hi to colleagues on a large call?,Chaotic,As soon as you join the call,-1,0,Chaotic vs. Lawful
When do you say hi to colleagues on a large call?,Good,As soon as you join the call,1,1,Evil vs. Good
Suppose your department's leadership team hosted a casual AMA (ask me anything) on Slack.  What would describe your involvement?,Chaotic,"Asking many, but non-work related, questions",-1,0,Chaotic vs. Lawful
Suppose your department's leadership team hosted a casual AMA (ask me anything) on Slack.  What would describe your involvement?,Good,"Asking many, but non-work related, questions",1,1,Evil vs. Good
"While taking required training (e.g., security), which of the following sound like you?",Chaotic,Answer the questions incorrectly; it's not graded anyway,-1,0,Chaotic vs. Lawful
"While taking required training (e.g., security), which of the following sound like you?",Good,Answer the questions incorrectly; it's not graded anyway,1,1,Evil vs. Good
A colleague shares a Google spreadsheet with you and the top row isn't frozen. What do you do?,Chaotic,"Freeze it for them, and announce you're doing it on a conference call",-1,0,Chaotic vs. Lawful
A colleague shares a Google spreadsheet with you and the top row isn't frozen. What do you do?,Good,"Freeze it for them, and announce you're doing it on a conference call",1,1,Evil vs. Good
How many browser tabs do you have open right now?,Chaotic,7-20 tabs in one browser window,-1,0,Chaotic vs. Lawful
How many browser tabs do you have open right now?,Good,7-20 tabs in one browser window,1,1,Evil vs. Good
How do you respond to a message on Slack?,Chaotic,Non-threaded response,-1,0,Chaotic vs. Lawful
How do you respond to a message on Slack?,Good,Non-threaded response,1,1,Evil vs. Good
Where do your downloaded files live?,Chaotic,In a dedicated download folder that I never look at again,-1,0,Chaotic vs. Lawful
Where do your downloaded files live?,Good,In a dedicated download folder that I never look at again,1,1,Evil vs. Good
What's your favorite mode of internal communication?,Chaotic,Slack,-1,0,Chaotic vs. Lawful
What's your favorite mode of internal communication?,Good,Slack,1,1,Evil vs. Good
How do you respond when mistakenly added to a reply-all?,Lawful,Filter or trash subsequent replies,1,1,Chaotic vs. Lawful
How do you respond when mistakenly added to a reply-all?,Good,Filter or trash subsequent replies,1,1,Evil vs. Good
The office internet goes down.  How do you react?,Lawful,Go home to get your work done,1,1,Chaotic vs. Lawful
The office internet goes down.  How do you react?,Good,Go home to get your work done,1,1,Evil vs. Good
How do you react when your computer is having repeated issues?,Lawful,Just deal with it,1,1,Chaotic vs. Lawful
How do you react when your computer is having repeated issues?,Good,Just deal with it,1,1,Evil vs. Good
When did you complete the Code of Conduct training?,Lawful,As soon as I had free time,1,1,Chaotic vs. Lawful
When did you complete the Code of Conduct training?,Good,As soon as I had free time,1,1,Evil vs. Good
Which is your favorite Slack Channel?,Lawful,Work-related channels,1,1,Chaotic vs. Lawful
Which is your favorite Slack Channel?,Good,Work-related channels,1,1,Evil vs. Good
"You need to write on a whiteboard in a meeting room, but most of the whiteboard has writing on it with a ""do not erase"".  What do you do?",Lawful,Leave it alone and find another room,1,1,Chaotic vs. Lawful
"You need to write on a whiteboard in a meeting room, but most of the whiteboard has writing on it with a ""do not erase"".  What do you do?",Good,Leave it alone and find another room,1,1,Evil vs. Good
What is your favorite capability of Slack?,Lawful,Communicating about work-related issues,1,1,Chaotic vs. Lawful
What is your favorite capability of Slack?,Good,Communicating about work-related issues,1,1,Evil vs. Good
When do you say hi to colleagues on a large call?,Lawful,If there is a pause in conversation soon after you join,1,1,Chaotic vs. Lawful
